tweet,is_drug_abuse
I need more wine,1
drunk me is really good at darts,1
I really want a blunt,1
I want to smoke rn,1
my nail broke wtf,0
Im lit,0
Who shot J R,0
i just wanna smoke dude,1
Drunk,1
done got drunk,1
Nobody wanna kick it with me,0
you really aint shit if you hit your girl or even threaten to do so,0
Im glad I hit rock bottom cuz its really no where to go but up from here,0
You know when ur too drunk nah,1
Bump,0
Aint nobody dope as me Im just,0
Hit me up,0
hits blunt me,1
ITS LIT,0
How does one write a hit song,0
Too drunk to let this effect me,1
Lit,0
im drunk,0
Im not even drinking alcohol,0
smoking weed,1
its lit,0
Its lit,0
MORE SHOTS,1
MORE SHOTS,1
MORE SHOTS,1
ITS LIT,0
Smoke the loud like nicotine,1
I dont even smoke but I wanna be so high rn,1
im so drunk,1
The night is still young drink that dinner wine slow,1
Drunk,1
Im drunk and love all of you,1
I been drunk all day,1
lit,0
Drunk,1
Should he get a shot,1
every time i get drunk i remember why i smoke weed,1
dont talk to her if she smoke black n milds,1
i been so lit this this weekend,0
Dope af,0
juice,1
Its not about how hard you can hit Its about how hard you can get hit and keep moving forward,0
Im too lit to dim down,0
Well this hit me straight in the chest,0
Its lit,0
Hit that shoulder lean,0
Im smoking a cig on yo porch,1
Im drunk as hell,1
Lets kick it,0
That hit me,0
I can hit it from the back and aint gotta hold my breath,0
booty like a dice game,0
If you hit a girl you are a pussy,0
a coke,1
Good drank good drank I drank the Lean,1
I dont bump mainstream I knock underground,0
When da backwood hit ya,0
I dont usually do this unless Im drunk or Im high but Im both right now,1
Liquor store me please,1
Go to bed youre drunk,1
too drunk,1
its lit,0
I need to drown in some weed,1
Everyday we lit,0
ITS A PIECE OF JUNK,0
fine like wine,0
Lets kick it,0
When da backwood hit ya,0
She came first I came last roll the grass,1
Hit my two way,0
I may be in uni but i still know how to kick it,0
im done with cigarettes,0
I wanna smoke a square but I gotta wait for my parents to get home,1
I dont smoke crack motherfucker I sell it,1
All I can be is me and thats dope,0
yup drunk,1
I smoke too much weed to stress on that dumb shit,1
Dan is drunk and pant less,1
hits blunt,1
and weed,1
Fueling up on heartaches and cheap wine,1
Dope,0
drinking this liquor got me mad HOT,1
It s almost 12 and there is no alcohol in my system,0
im too drunk to walk so ill drive,1
After I give you this game you should never let a lame hit it,1
Get drunk all the time,1
Dope,0
We smoke so much the ashes start to burn on me,1
Im lit B,0
Marijuana she can suck it if she wanna,1
I love being drunk,1
Ok Im gonna finish up soon Ill hit you up,0
you wanna hit this,1
It just hit me,0
Im in the mood for wine night,1
Who can I hit up,0
He had got shot twice in the chest,0
I wanna get drunk,1
I just want wine,1
I just wanna smoke and go back in the house,1
Fav if you love to smoke at night,1
Its lit,0
Molly tf out,0
Nah I need to smoke,1
Smoke good weed w a bad bitch,1
Just trying to kick it,0
That should work imma hit you up by Wednesday,0
It was lit,0
Hi Im Mike want a shot,1
bump that just let me be on stage with ya at a show,0
somebody HIT MY LINE,1
I got a line of them waiting,0
im drunk of your kiss,0
Im drunk,1
back to square one,0
I see the booty I grab it I see the booty I smack it,0
Faded and drunk with,1
in the mood to get drunk,1
Crossed the line I know my love but I want my bitch back,0
I love lit me i always smiling,1
me when i start to get drunk,1
Super Bowl Goals,0
Sounds lit,0
was dope tonight too,0
I be geeked dab,0
Hit me up,0
Bro I sound so bad when Im drunk ew,1
Drunk words are sober thoughts,1
All she gotta do is hit me with the text and Im pulling up,0
I need a blunt right now,1
Cigarette smoke,1
Oh look Im drunk,1
I just want to be wine drunk is that too much to ask for,1
Someone hit me up,0
No no fuck that shit I Love Drunk Me,1
Pot,1
Too drunk,1
DONT PICK UP THE PHONE U KNOW THEY ONLY CALLING CAUSE THEY DRUNK AND ALONE,1
Thats how I want it line em up,1
Gonna get a W for wine,1
good weed bad bitch,1
you can lead a horse to water but you can t make it drink,0
Hit her raw dog then I plan b,0
I cant believe Im still drunk af,1
all i do is smoke weed,1
Fuck it ima shoot my shot got none to lose,0
I smoke when I drink when its tradition,1
Wine from a can,1
When your friends wanna go out but you really wanna just smoke and play uno,1
Uptown lit,0
Its lit,0
That was dope af,0
Im super drunk,1
hit ya girls line,1
Dude Im ready to hit some more up,0
Shouldve never let you hit it I split it with you,1
Slide to Smoke and toke,1
Another lit ass night,0
50 cent was gone make me kick his ass,0
You dont even have to ask you know Im always down to hit with the boys,1
broken whiskey glass,0
from my lash line coming to soon,0
LA so fuckin lit all the time,0
It is time to get lit,0
Im beat I need one of these Except for wine that I can put next to the bed,0
Wine Time,1
Its no surprise to me I am my own worst enemy,0
Cause every now and then I kick the living shit out of me,0
This wine aint strong enough,1
Im drunk,1
Come give me a shot,1
Alcohol,1
its about to get lit,0
Im LIT,0
A Blunt,1
drunk,1
I just need a blunt,1
Hit me,0
jungle juice is the,1
im so drunk i just know im gone be throwing up from this,1
with that focus at the FT line,0
Grandma lit,0
How can you look at this and not crack up,0
It can really be a hit or miss,0
Get drunk all the time,1
You dont even know what a shot is,1
Some drunk shit,1
About to hit the pool,0
Bitch im drunk,1
Hit me with something to do,0
Im drunk fuck Texas,1
kick it,0
WHOS GOT POT,1
Another shot and I should be where I need to be,1
its lit,0
Gangsters dont dance we boogie pussy,0
I wanna smoke,1
good thing im drunk and dont give a fuck,1
In need of a blunt,1
I really just need a blunt rn,1
i wanna get drunk,1
Im kinda lit,0
Dope,0
from the d to the beach we lit,0
Drunk,1
just told me to shoot the shot I gotta do it,0
Think Im bout to hit the crib,0
Im drunk,1
And that summer was LIT,0
You a hater on the front line,0
Every Time You See Me I Look Like I Hit The Lotto Twice,0
Just need three more to hit 500,0
Ive heard that line before,0
Need a blunt,1
I need some wine,1
My mom is drunk,1
They fuck the wine,1
Hit them with the,0
Ready for that 3 am blunt,1
Im lit,0
Need a bad bitch to roll my weed,1
Its lit,0
Ima smoke yo ass,0
Butt,0
Drunk,1
Im drunk as shit,1
If she bad I hit it twice,0
LIFES SHORT SMOKE A PORT,1
He got wit a Real one so fuck niggas cant hit it,0
Drunk,1
dat crank,1
Im drunk as fuck,1
ron ron im drunk,1
I should prolly hit her with the peace sign,0
LIT,0
I hit the bitch from the back and she like uh oooo,0
This is dope,0
Its lit,0
Everybody in this bitch getting tipsy,1
i feel that second shot tho,1
i think im back to square 1,0
If I cant smoke inside I dont wanna go,1
Not drunk I swear,0
Its lit,0
its hit or miss,0
drink alcohol,1
I need a blunt,1
Why is it the only time you text me is when youre drunk,1
guess Im smokin this blunt by myself,1
My mom whenever I try to hit that one note I know I can never hit,0
Me I did that back in the day but back in the day it was a cigarette and not a Cigars,1
Me to myself I like square things more I think,0
That should top up the coke supply,1
My man has a bigger butt than me,0
Update I got that shot,1
Alcohol,1
The square root of 69 is,0
I just wanna hit it from the back,0
Lit,0
Drunk,1
Im drunk,1
Lit,0
Friends lets drink wine together,1
get in line fella,0
I got the fucking juice,1
Even if I hit you once you part of my collection,0
Niggas like me fall out the sky you dont just bump into me,0
Im just tryna spark a blunt,1
And im v drunk,1
BOUT 2 PULL A KICK DOOR,0
Late night session w,0
I need another blunt,1
holy smokes,0
Im drunk so Im chillin,1
drunk,1
Some square up,0
Im drunk and I can see that its a bad tattoo,1
Its OK I may not even be up but someone will hit that goal,0
A hit,1
Can I joint your clan,1
This is dope,0
You not a shooter,0
shoot your shot,0
Dope,0
Line,0
You cant drunk dial when you aint drunk,1
Its lit,0
im focused on the weed,1
The neighbors think Im selling dope,1
IM AB TO WHOOP YOUR BUTT,1
And love to get her pussy licked by another bitch cuz I aint drunk enough to that,0
RED SNOW,0
Im an alcoholic,1
Shot bet or ur a bitch,0
This has me lit tho,0
They lit too,0
Young Thug done got so hot I forgot him and Peewee long way used to be like Bibby and Herb,0
i am drunk,1
why do you keep on crossing the line,0
Lit,0
Everyday we lit,0
Dope,0
i be smoking so much dope i think my lungs missing,1
Lit,0
is so fucking dope,0
And Im tipsy,1
Its lit,0
My mojo so dope bitch,0
Where are my friends lets smoke a blunt,1
Jam session,0
I dont even smoke,0
i love grape juice and I love you,0
I think I wanna get drunk,1
i drink the lean but i dont fall,1
Lit,0
We been blowing gas i be so cool on it,0
weed wtf,0
is where squares can have a ball,0
Hit me up on the low cause Im about to blow,0
Im drunk fuck patron,1
Young nigga move that dope,1
got a blunt with my name on it,1
My mom is so drunk,1
Lit,0
DRUNK,1
Send help m Im way too drunk,1
Its lit,0
It just might be the alcohol,1
Bang my line,0
My bed is next to the window now You know its about to be lit,0
My dad is so drunk rn,1
Being drunk is such a good feeling,1
Can I hit it in the morning,1
Lit,0
Drunk,1
Lit,0
Oh I was too lit to notice this,0
Im drunk please mind me,1
I lost my juice,1
Im drunk as hell,1
Me after hitting this joint,1
If I just bought it from you why the fucc would i wanna smoke it with you,1
Do I look drunk Asking for a friend,1
She was hit in high school She can get it now though,0
he ate too much candy,1
I miss the snow,0
The grass not always greener on the other side,0
Really dope,0
Dope show,0
I need a blunt and some in n out,1
who wants to kick it w me,0
Im drunk,1
If I was broke she would kick in doors wit me,0
Too lit,0
hit,0
thats the spirit,0
Holy fuck I am drunk as fuck,1
I am lit,0
is dope,0
He lives in spirit,0
Bout to hit her with no jimmy Mack and go half on a baby,0
Im so lit,0
Put the cigarette in its cool,1
Drunk,1
Im to lit,0
Thats last one was dope,0
I wish I had a blunt,1
one more bowl and Im out lol,1
dab,0
just did heroin,1
smoke me out,1
Never eating candy again,0
I hate the smell of alcohol,0
Maria Im Drunk,1
I want to smoke,1
Atl be LIT,0
SO DOPE,0
Hit that bone,1
Bruh I love alcohol,1
I dont even got juice no more I got SAUCE,1
you know hes only calling cause hes drunk and alone,1
Its lit,0
Only been here for not even 10 minutes and Ive already got hit on,0
i ate a candy,0
So lit,0
I crack my phone,0
Every time I shoot my shot I miss,0
I got the juice,0
Everyday Im lit,0
There in spirit,0
LIT,0
god speed,0
crack my self up,0
me and j lay or crack,1
Hit a nerve did you,0
Lose they mind for it,0
Wine for it,1
Done for it,0
PUSSY,0
Dont hit my line with that he said she said shit,0
chillin like a wine cooler,0
Drunk,1
Im lit,0
Im so drunk I cant even,1
Pills weed and pussy and pussy we love that shit we love that shit,1
This dope af,1
I dont think its for me to become a Not by a long shot,0
your music is so good when youre drunk,1
screen shot this too and send them,0
Someone hit me up,0
drunk in love,1
Im drunk writing lyrics Ah shit,1
Need a blunt,1
Pussy money weed codeine,1
Lit family day,0
who want smoke,1
Got drunk with my best friend and,1
Would you rather have to take a double shot of whiskey thru your,1
We lit boys,0
Weed,1
Quit smoking crack,0
Hi twitter Im drunk,1
You just crossed the line,0
Dude lit,0
Directed and shot by me,0
Once again Im a drunk little shot,1
Shoot your shot,0
These were straight TRASH,0
Lit,0
Gotta smoke a lil before bed,1
Too drunk,1
Lit,0
Drunk right now,1
Drunk as fuck,1
Yo girl look she took she hit man,1
sell dope rap go to the nba,1
He blowing me,0
Waiting on you to give in and hit me up,0
Lit,0
I can only smoke to good music or no music at all,1
Im tryna smoke and drink right NOW,1
gangsters dont dance they boogie,0
Weed so good I dont wanna pass,1
Im drunk and I love my dog,1
gangsters dont dance they BOOGIE,0
Blunted,1
double cups love you the one I lean on,0
Then I take it back and I hate you,0
Butt face,0
Either that or smack that,0
Im drunk shut up,1
Im drunk and Im sad,1
Butt naked smokin a joint,1
SHORT SHORTY SHOT,0
this cruise is so lit yall,0
dope,0
Also hi I am drunk as SHIT,0
Smoking weed everywhere i cant,1
Weed not a drug,1
I like smoking weed I like getting fly,1
Wine is good,1
Need weed,1
I was there in spirit,0
Gram blunt in the air,1
Im drunk and love you you thank you,1
Everyday we lit,0
Im drunk Im high Im going home,1
niggaz dont know how to act when they get liquor in they system on 7th,1
Im drunk excuse me,1
Fuck it Im bout to roll a blunt & jump on my game,1
Shout out to bro was dope,0
She smoking my blunt saying she aint having fun bitch give it back now you dont get none,1
Yall blowing me,0
Up just geeked off the molly,1
I miss you the most when Im drunk,1
weed,1
If you see hit him in the balls,0
Guess I just came to get drunk and high,1
In the mood to smoke,1
You know hes only calling cause hes drunk and alone,1
Its about to get lit,0
Im drunk speak to me,1
need a blunt rn,1
drunk,1
its lit,0
good weed and better sex,1
jack & coke,0
back to square 1,0
i have hit rock bottom,0
Drunk,1
im drunk n i miss u,1
Hit my line,1
Im drunk,1
Shoot your shot,0
I dont even like candy,0
Well was worth a shot,0
Too lit,0
But she aint hit the gm,0
He hit the folks,0
fuck I shouldnt hit that blunt,1
smoke,1
I had a little bit too much to drunk,1
drunk,1
Im lit,0
How we feel smoking a blunt,1
Im lit,0
it was lit,0
Who gone ENtertain me Im LIT,0
Im never drinking coke again,0
Drunk,1
And when we sober but specially drunk,1
Drunk,1
Never trust a big butt and a smile,0
U kno how we get down when niggas cross the line,0
bump,0
Sweet like candy cane,1
Lit,0
Jack and coke for the 6 time,1
ass titties pussy money weed,1
thats the spirit,0
Dont drunk and tweet,0
But the after party at dennys was lit,0
smoke sesh rn,1
talk shit get hit,0
was lit s o to,0
My new bitch named Molly,1
I need to smoke,1
bump,0
Hit the club,0
Too lit to sleep,0
Lit,0
Good black dont crack,0
you know when u always call that one person when u drunk,0
Lit,0
I know my butt is cute and shit,0
Lit,0
Molly,1
Lit,0
Well split a blunt and call it even,1
The Session Was So Fire,0
Drunk,1
I just smoked a blunt with your girlfriend,1
Weed,1
My dream was so lit oh my god,0
Baby hit this weed cause it might calm you down,1
I ate too much candy today,0
Im drunk,1
so dope seeing you there,0
Im so drunk Wtf,1
The after hour was too lit,0
Ok I need a blunt,1
I THAN SMOKED SO MUCH WEED MAN,1
I think im drunk yall,1
my weed is so loud,1
Yet Im giving it a shot,0
Im drunk,1
Bout to smoke myself back to sleep,1
tell me how is that ya shooter but you never seen him shoot,0
Smoke,1
Fort Worth its been lit,0
When you thought you had the juice,1
what is Waiting for shit or get off the pot,1
WE WANT ALL THE SMOKE,1
Bend her over smack that ass pull her hair for the hood tho,0
If the girl im talking to cant get as lit as me then she aint the one,0
Ima smoke this blunt and,1
they too lit,0
Lit,0
Fuck bongs,0
That Jack In The Box hit the spot,0
Ugh Im such a bitch when Im drunk Sorry everyone,1
Im drunk tryna make some bad decisions,1
Lit,0
Im drunk,1
Is Dope AF,0
Arizona Is Dope Too,0
the whole tl is about nuggets,0
dust off these niggas,0
Im drunk,1
Im not like angry But I want to hit someone,0
Yo I crack myself the fuck up,0
IM SO DRUNK,1
Hit the game put the wave in it,0
Smoke a blunt while I shower,1
Run up on me you get hit,0
Someone hang with me and juice tomorrow,1
Thats dope,0
Im going to try to smoke with or without him,1
Its lit,0
If you have to be drunk to win an argument you already lost it,0
Im drunk and Im happy bitch,1
This hit me hard as hell wtf,0
A Hit,1
Im drunk,1
LIT,0
Lit ass night,0
Whos got the herb when Im dry,1
Lit,0
Need a blunt,0
I love orange juice so much,0
I have nobody to kick it with this late,0
Lit,0
was dope,0
Dope,0
Its LIT,0
I smoked a roach like I need that hit,1
Ill drop kick you,0
Gotta pour out a little liquor,1
Drunk in love,1
Weed,1
Time to take a dab,0
ORANGE JUICE,0
Bout to hit this shit and go right back to sleep,1
Im so drunk,1
lit,0
Lit ass night,0
Im dope,0
Having a little fun on the bump,0
What is the best candy,0
I smoke think imma reach over u to ash,1
My Juice,1
wine,0
just a lil lit,0
Theyll see the dope in me one day I hope,0
Hit the blunt,1
Dope,0
Dope af,0
Family day yesterday got lit,0
So pool is not my thing bro I can not hit the center of the ball for shit,0
can we just take the shot gun out of the game please,0
Smoke This Dope Then Im Going To Sleep,1
How about Bump Ahead,0
dark horse,0
Dope,0
I still feel drunk,1
Alcohol is the devil,0
I think everyone I know was drunk last night,1
Im a shooter with a shooter,0
I need some weed,1
You may run like mays but you hit like shit,0
About to smoke a blunt with my neighbor,1
Wake up in the morning thinkin bout money kick your feet up Watch you a comedy take a sh t and roll some weed up,1
Stress cry smoke go about my day,1
Its LIT,0
Stop By The Coffee Joint,0
I GOT TIME,0
and a blunt,1
You smoke blunts as small as ass is,1
Fuck I can Go For A Bowl Rn,1
You got the juice she got the sauce,1
When youre drunk,1
For Mod Evil,0
Hit that one on the had for sure,0
Dont hit her up asking to smoke just let her know you wanna see her,1
I had a lit ass Saturday,0
hit me,0
If only I could hit one shot like these guys hit every shot,1
On a bus to the starting line,0
ITS LIT,0
My weave smell like weed,1
I was outta line I get it but I miss you,0
2 cigarettes and I dont even smoke,0
When you wake up from a nap after you smoke,1
I hav been Shot,0
I get pretty damn drunk last night,1
the torch has been passed,0
Class lit as shit,0
Yall know what commercial crack me up,0
Opening session,0
Im consuming grass like a cash cow,0
I finesse her out them panties I hit raw dog get a Plan B,0
This movie is going to be so lit,0
The bass line,0
ITS SOMETHING ABOUT THAT BLOOD LINE …,0
Feel like I just got hit by a bus,0
That drop shot by was nasty,0
dope tat,0
every bitch dat got drunk last night got fucked,1
This is dope,0
The Lawyer the Addict,0
Bro lit right,0
yo thats lit,0
I didnt know that had a line and Im SO HAPPY,0
are you coming to church bud,0
They really got gas blunt for da 5,1
Dope,0
Im finally on the line,0
oh hit my b,0
Need a blunt,1
Candy paint with the white on top,0
They were but are going with grass,0
Ill give it a shot,0
And BOOM goes the dynamite,0
You must be smoking to much butt crack again,1
Far to much cocaine abuse,0
A lot of yall are square af,0
Shoot your shot,0
We coming there to get drunk with yall soon,1
Dope,0
Out of all my friends Im the only one that dont smoke,0
I cant even look at alcohol for at least a week,0
need a blunt and my pussy ate rn,1
Molly,0
I cant even sleep without smoking a blunt,1
Maybe one of them will smack him with a purse,0
Smoke this wood first,0
And boom goes the dynamite,0
where is sen butt,0
I need a blunt,1
Opening session,0
BUTT HURT,0
I cant just sleep with a bitch Got to watch who you hit first get the drop on a bitch,0
Chicks go to dr for a surgery forgetting I already hit ma how you curving me,0
I spit out my orange juice,0
I smoke too much weed so I dont stress,1
Im the one that hit that same spot,0
I love drunk texting you,0
Lit,0
orange juice,0
Hold the uzi vertical let the thing smoke,0
Yall be flirting with death I be winkin thru the scope,0
Square up,0
Pussy is my greatest vice I love smoking weed I have advice,1
Pussy is my greatest vice I love smoking weed I hate advice,1
Cant remember the last time I got that drunk,0
I hope you get hit by a truck,0
hit it,0
she got us drinks to drink we drunk them got drunk,1
Lit,0
I feel like I got hit by a bus,0
This is DOPE,0
dont let anyone speed up YOUR process Its not for them,0
Crack,1
Fucked up the world,0
Bum bum bum ANOTHER one bites the dust,0
That Hennessy hit me so quick last night,1
Almost hit by because they thought it was ok to run a red light,0
Thats dope,0
You got the juice now,1
Dope,0
Lit,0
its lit,0
Shoot that shot den,0
hit me with a bus why dont u,0
Sweet like candy cane,0
Weed,1
This is dope,0
I smoke A LOT of weed I aint gone front,1
Dope,0
One hit away,0
Scotty too hotty done put that lil bitch on a molly,1
Might see a bitch and forget I hit it,0
The Lawyer the Addict,0
the King of grass,1
This is dope,0
is the King of Grass,1
when Im w u all I get is alcohol poisoning,0
I b getting to lit,0
Coke,0
All hail the king,0
This is what I get for being too lit last night,0
Holy smokes,0
lit,0
Neighbors think Im selling dope,1
like an addict,1
I need a blunt,1
First in line,0
LITTY LIT LIT,0
Baby bump,0
Im drunk and need to go home,1
Sometimes you gotta hit the bottom before you make it to the top and I dont plan on staying on the bottom,0
So dope,0
Heres the pot calling the kettle black,0
Lit,0
I talk so much shit when Im drunk,1
Icing The,0
Im already drunk,1
I pull out a spliff and go outside,1
3 pounds of weed,1
he b having the spot lit,0
Dope,0
if I always gotta hit you up for us to talk then we wont talk,0
does anyone want to smoke w me,1
sweet like candy cane,1
Hit us with the story,0
You say you a Lick man but YOU AINT HIT NO LICKS,0
You was lit baby,0
Get in line,0
Even If I Hit You Once You Part Of My Collection,0
Need to smoke,1
You Aint Got The Juice Like That,1
If yall kno me yal kno this my favorite line to say,0
Im lit,0
Orange Juice,0
HIT DA WITH DA …,0
Dont call for the ball if you dont have the guts to take the shot,0
With a blunt,1
Dope,0
Yall crack me up,0
Dope,0
maybe don t drink wine then,0
with this dope in my system ik u gone turn on me,1
Never wait in line again,0
Thats so lit,0
Gimme all the baby dust,1
Put on anything and it seems Its a hit,0
ALL HAIL THE KING,0
Thats Fuckin Dope,0
Its that dope man Cologne,0
You dont want no smoke,1
no im tired dab,0
Be loyal or be square,0
amp,0
Nail on the Head,0
Even if I hit u once u part of my collection,0
ALL HAIL THE KING,0
I had a glass of dinner with my wine,0
at first i thought that was her butt,0
Im drunk,1
While smoking a cigarette,1
Its lit,0
Where the dope,1
Dope,0
youve been acting awful tough lately smoking a lot of cigarettes lately but inside youre just a little baby oh,1
Yall Blowing the shit out me,0
Just need some weed,1
Girls who cry when their drunk,0
him and this kool aid but this is true,0
ur shot,0
these are dope,0
needs a kick in the head,0
Wow this hit hard,0
Telephone call from young Carti said its lit,0
Call the young Lord A$AP Bari he A BITCH,0
This joint kinda lit,1
That black dont crack,0
Alcohol is the devil,0
Shit I was too drunk last night,1
Houston seems lit,1
The Lawyer the Addict,0
If shit hit the fan is you still a fan,0
Ready for lunch to hit already,0
I literally only go to AZ just to kick it with my niggas,0
Im so lit for Friday like,0
Back to square one,0
Not if you have a bowl,1
Im at Smoke in MD,1
Out riding your horse,0
everyday we lit,0
Never let tha world break ya spirit,0
Last night was so dope,0
Back to square one,0
Yeah me too This Season is lit,0
Its lit,0
Never had a pot to piss in,0
Its lit,0
I see everyone had a lit weekend,0
smoke a sweet,1
Rap game crack game apparently the same thing,0
After I give u this game u should never let a lame hit it,0
but if you need dick I got you and I yam from the line,0
I was drunk all weekend everything was just lit,1
smoke a gold leaf I hold heat nonchalantly Im raunchy the things I do is real it never haunts me,1
its lit,0
mustard on my nuggets,0
Best of luck at the Hit it hard and go low,0
Lit,0
Me too I just bet that were not the only ones either by a long shot,0
Straight trash,0
lit for ya love,0
And nobody else can hit it,0
Last night was dope,0
I rather smell like weed then alcohol,1
I was super drunk last night,1
Smack my booty in public,0
This is fuckin dope,0
Ouch Fuck that body kick,0
Is it better to have the sauce or the juice,1
Still at the boob shot,0
Wanna know what I thank God for,0
Good weed,1
Never trust a big butt and a smile,0
What if you miss the shot,0
i need a nap before i hit the road,0
LIT,0
Molly Drag,1
My summer was supposed to be lit but all I do is work,0
Drunk memories are the best,1
Hit em with the visine try to kill the blindness,0
This bitch a hit,0
Ike and Tina Turner,0
Or candy,0
If you need graphic work hit this man up,0
This is dope,0
The grass is NEVER greener,0
I need to smoke,1
Look at me inside the White House wit a pocket full of weed in the white,1
Lit,0
So lit,0
I was so lit last night,0
I was drunk,1
You aint a shooter you cant do that shit without the molly,1
Gas all I smoke nigga,1
Hit the gas so hard made it rotate,1
Cocaine is one hell of a drug,1
Back to square 1,0
SHOOT YO SHOT,0
A fat blunt,1
I still feel drunk,1
Id miss the shot,0
That first bong rip of the day always got me like,1
All my real dogs still kick it wit me,0
I got a shooter fa your shooter,0
Its lit,0
Line and line,0
these are fuckin dope,0
Damn black dont crack fr,0
Will someone help me out with a ride for a blunt,1
Love this rig,0
Some iced tea would hit rn,0
Finna Hit The Mall,0
thinkin bout them licks i hit i had to,0
ALL HAIL THE KING OF THE NORTH,0
smoke,1
Lamar Odom and Crack,1
All Hail The King,0
Bump,0
You must be on that powder,1
Crack,1
bump,0
yummy butt,0
Ayy s o to and my bros It was LIT,0
Hit the game out the wave in it,0
Puffin this grass,1
That was pretty Dope,0
ITS LIT,0
Did you find out that hes down for butt stuff,0
Yall are about to make me step out the Spirit Let me go get something to eat,0
My butt will be by my pool all day,0
Me too it was lit,0
my presence is a present,0
just to kick it is a blessing,0
All Hail The King,0
It s so we had to hit up and make sure our little man got in on the fun,0
Ion usually do this unless Im drunk or Im high but Im both right now,1
Youre a damn drunk,1
Does it feel good to be drunk and high at the same time,1
Hit the game put the wave in it,0
Drunk me is a whole other person,1
lit it and all,0
I had to give her a shot and she got mad at me,0
In need of a cig,1
ill let u hit this blunt for a tre bomb,1
You can lead a horse to water but you cant make him drink,0
This is dope,0
Brooklyn got some lit eyes,0
CRACK,1
how u black selling crack for da white man,1
This is dope,0
SHOOT THAT SHOT,0
I got way too lit last night,0
On probation but I keep that chrome crack a nigga dome,1
You cant put back together broken glass,0
Dope,0
so dope,0
Let that shit hit the core,0
I need a blunt,1
ok so like yesterday made me not want to smoke ever again,0
She gon eat this molly like its rice,1
smoke this wood and forget about you,1
First Shot Of the Day,0
Wait till I get a big butt,0
Someone please come drag me out my bed I have things to do but Im stuck,0
wild thots a boogie,0
Yeah Im a pot head Whats your point,1
Its lit,0
Football team bout to be lit,0
Like a blunt between your fingers Im at peace,1
Everyday we lit,0
Holly Molly,0
Ew I feel I was hit by a bus,0
The kinda drunk is the one where you dont feel drunk but you know you are same,0
anybody have any ganja,0
Can someone come crack my back,0
I will tell you one thing I would rather my brother be high than drunk,1
i woke up drunk on ur love,1
these are dope,0
Wanna hit a pool,0
Thats dope,0
Time to burn down a joint,1
Gonna go home & smoke a joint,1
When u have the juice like me u get it done for free,1
Let me know how you do bud,0
When U Smoke The First Blunt Of The Day,1